Point ID ,CollectDate,Depth (cm),Bulk Density,Water Infiltration (T2),Water Infiltration (T2),Olsen P,Sand,Silt,Clay,Texture,pH,CEC,Calcium,Magnesium,Potassium,Sodium,Total Org Carbon,Total Nitrogen
TOKA-045,17-Feb-15,0 to 10,NA,0.36,165.14,8.4,QNS,QNS,QNS,QNS,6.1,43,17,9.5,1.2,0.22,3.7,0.34
TOKA-055,17-Feb-15,0 to 10,1.24,17.71,3.39,6.6,26.2,37.5,36.2,Clay Loam,5.1,27,8.4,4.7,1.1,0.14,3.2,0.31
TOKA-057,19-Jan-15,0 to 10,1.24,0.4,150,5.5,23.8,38.8,37.5,Clay Loam,5.6,28,11,6.3,0.72,0.44,3.1,0.3
TOKA-060,19-Jan-15,0 to 10,1.12,1.73,34.62,12,41.2,27.5,31.2,Clay Loam,5.8,39,18,8,1,0.26,4.3,0.34
TOKA-061,19-Jan-15,0 to 10,1.1,3.34,17.98,5.7,28.8,36.2,35,Clay Loam,5.9,34,13,7.5,1,0.36,3.6,0.27
TOKA-064,19-Jan-15,0 to 10,0.97,0.85,70.31,28,30,35,35,Clay Loam,5.7,48,18,5.9,2.7,< 0.090,7.9,0.65
TOKA-067,17-Feb-15,0 to 10,0.99,0.34,176.47,9.3,20,31.2,48.8,Clay,5.9,50,23,14,0.82,0.27,3.2,0.33
TOKA-068,19-Jan-15,0 to 10,1.28,10.68,5.62,11,30,35,35,Clay Loam,5.5,33,13,8.5,0.64,0.41,2.7,0.28
TOKA-071,17-Feb-15,0 to 10,NA,0.48,125.87,22,QNS,QNS,QNS,QNS,5.8,65,23,11,2,0.23,10,0.61
TOKA-072,17-Feb-15,0 to 10,1.09,0.8,74.69,4.2,27.5,36.2,36.2,Clay Loam,5.6,33,9.8,6.8,1.7,0.14,4.9,0.4
TOKA-080,19-Jan-15,0 to 10,1.03,0.48,125,8.7,21.2,36.2,42.5,Clay,5.7,39,13,10,0.9,0.3,3.3,0.3
TOKA-089,17-Feb-15,0 to 10,NA,NA,NA,41,QNS,QNS,QNS,QNS,6,59,23,8.5,1.6,< 0.090,8.6,0.55
TOKA-091,17-Feb-15,0 to 10,1.14,1.28,46.88,13,25,40,35,Clay Loam,6,41,18,8.7,1,< 0.090,3.3,0.27
TOKA-099,19-Jan-15,0 to 10,1.26,1.9,31.52,9.4,40,31.2,28.8,Clay Loam,5.6,35,13,8,1,0.12,3,0.29
TOKA-104,19-Jan-15,0 to 10,1.21,14.04,4.27,4.2,20,38.8,41.2,Clay,5.1,18,6.2,3.9,0.41,0.26,2.3,0.17
TOKA-111,19-Jan-15,0 to 10,1.06,6.52,9.21,3.5,43.8,31.2,25,Loam,5.3,26,7.3,6.5,0.62,0.32,3.3,0.26
TOKA-115,19-Jan-15,0 to 10,0.88,0.65,92.78,6,31.2,33.8,35,Clay Loam,5.7,38,12,10,1.2,0.37,3.4,0.29
TOKA-119,19-Jan-15,0 to 10,1.22,0.98,61.22,15,28.8,40,31.2,Clay Loam,5.8,38,12,10,1.1,0.18,3.5,0.27
TOKA-122,17-Feb-15,0 to 10,1.11,0.95,63.16,15,25,38.8,36.2,Clay Loam,6,45,17,12,1.1,0.31,4.4,0.29
TOKA-126,19-Jan-15,0 to 10,1.05,2.14,28.08,8.6,28.8,36.2,35,Clay Loam,5.8,43,16,10,0.94,0.5,4.8,0.42
TOKA-129,19-Jan-15,0 to 10,1.18,0.8,75.31,8.7,22.5,42.5,35,Clay Loam,5.6,33,12,7,0.84,0.3,3.7,0.35
