"","name","total","mean","sd"
"113","NAPU4",0.164200562583874,0.0052967923414153,0.0217714224348977
"114","NAVAR",0,0,0
"115","OXALI",0,0,0
"116","OXALP",0.00571428571428571,0.000184331797235023,0.00102631601158157
"117","OXPE",0.0597014925373134,0.00192585459797785,0.0107227045986134
"118","PAVI3",0,0,0
"119","PEKE",0,0,0
"120","PETR7",0,0,0
"121","PHAQ",1.80875575219259,0.0583469597481482,0.124200124131223
"122","PIEC",0.113287632909495,0.00365443977127404,0.0132642025005872
"123","PIPER2",0,0,0
"124","PLER3",0.00921658986175115,0.000297309350379069,0.00165534840577673
"125","PLLA",1.88480100832885,0.0608000325267371,0.0665989233483133
"126","POGLG4",0,0,0
"127","POMU",0,0,0
"128","POPR",0.00337837837837838,0.000108979947689625,0.000606774669009375
"129","PSCA13",0,0,0
"130","PSEUD43",0.0184331797235023,0.000594618700758139,0.00331069681155345
"131","PSLU6",0.00571428571428571,0.000184331797235023,0.00102631601158157
"132","PTAQ",0.00325732899022801,0.000105075128717033,0.000585033557090472
"133","RASA2",0,0,0
"134","ROCA2",0,0,0
"135","RORO",0.0159382284382284,0.000514136401233175,0.00207591414231397
"136","RUAC3",0.139099869096009,0.00448709255148416,0.00976233822759323
"137","RUAR9",0,0,0
"138","RUCR",0.0048780487804878,0.0001573564122738,0.000876123424520853
"139","RUMEX",0.00574712643678161,0.000185391175380052,0.00103221437946422
"140","RUPU3",0,0,0
"141","RUUR",1.09761039275824,0.035406786863169,0.0456674033035172
"142","SABI",0,0,0
"143","SABI2",0,0,0
"144","SABI3",0.00483091787439614,0.000155836060464391,0.000867658463897463
"145","SACH2",0,0,0
"146","SACR2",0.0971262241521433,0.00313310400490785,0.00902001060611206
"147","SANIC",0,0,0
"148","SCAND",0,0,0
"149","SCAR7",0.0505505505505505,0.0016306629209855,0.00700458481173719
"150","SCCA2",0.021184668989547,0.000683376419017646,0.00265403203500562
"151","SCIRP",0,0,0
"152","SCPE",0.0572916666666667,0.00184811827956989,0.010289887095284
"153","SHAR2",0.017683755093827,0.000570443712704098,0.00224869887435687
"154","SIBE",0.0715090439416716,0.00230674335295715,0.00358193385893371
"155","SIGA",0,0,0
"156","SIMA3",0.164179104477612,0.00529610014443909,0.0294874376461869
"157","SIVU",0,0,0
"158","SOAS",0.0497943177034006,0.00160626831301292,0.00352081241396922
"159","SONCH",0,0,0
"160","SOOL",0.0243503394868159,0.000785494822155352,0.00344319536089611
"161","STRIQ2",0.00520833333333333,0.000168010752688172,0.000935444281389453
"162","SYCH4",0.023656607956312,0.000763116385687484,0.00203885604088599
"163","TARAX",0,0,0
"164","TOAR",0.061036759907508,0.00196892773895187,0.00909628539522814
"165","TODI",0.191867847801282,0.00618928541294458,0.0187351715534244
"166","TONO",0,0,0
"167","TORIL",0,0,0
"168","TRAN6",0.0897868086107707,0.00289634866486357,0.0064214140893986
"169","TRCA5",0,0,0
"170","TRDU2",0.114423338579954,0.00369107543806303,0.00721531078996881
"171","TRHI4",0.0194228536915644,0.000626543667469819,0.00196554967320899
"172","TRIFO",0.00719424460431655,0.000232072406590856,0.00129212447501277
"173","TRMA2",0.00719424460431655,0.000232072406590856,0.00129212447501277
"174","TRST5",0.0314685314685315,0.00101511391833972,0.00565191509874467
"175","TRSU3",0.0558257727996425,0.00180083138063363,0.00348004300849605
"176","VELA",0.0100863821138211,0.000325367164961972,0.00126016293209559
"177","VIAM",0,0,0
"178","VICIA",0.0166784120272492,0.000538013291201588,0.0022490191534548
"179","VIHI",0.0779816513761468,0.00251553714116603,0.0140059180479595
"180","VISA",0.111760315175273,0.00360517145726688,0.00940936496285817
"181","VITE",0.610978966098024,0.0197089989063879,0.0200762550235844
"182","VIVI",0.0301305796411647,0.000971954181973054,0.00473154482308649
"183","VUBR",3.55382547682895,0.114639531510611,0.101818179350836
"184","VULPI",0,0,0
"185","VUMY",0,0,0
"186","WYGL",0,0,0
