	TOKA-006-10	TOKA-006-40	TOKA-007-10	TOKA-007-40	TOKA-013-10	TOKA-013-40	TOKA-016-10	TOKA-016-40	TOKA-018-10	TOKA-018-40	TOKA-022-10	TOKA-022-40	TOKA-029-10	TOKA-029-40	TOKA-030-10	TOKA-030-40	TOKA-034-10	TOKA-034-40	TOKA-041-10	TOKA-041-40	TOKA-055-10	TOKA-055-40	TOKA-057-10	TOKA-057-40	TOKA-060-10	TOKA-060-40	TOKA-061-10	TOKA-061-40	TOKA-064-10	TOKA-064-40	TOKA-067-10	TOKA-067-40	TOKA-068-10	TOKA-068-40	TOKA-080-10	TOKA-080-40	TOKA-089-10	TOKA-089-40	TOKA-099-10	TOKA-099-40	TOKA-104-10	TOKA-104-40	TOKA-111-10	TOKA-111-40	TOKA-115-10	TOKA-115-40	TOKA-119-10	TOKA-119-40	TOKA-126-10	TOKA-126-40	TOKA-129-10	TOKA-129-40	TOKA-135-10	TOKA-135-40	TOKA-137-10	TOKA-137-40	TOKA-169-10	TOKA-169-40	TOKA-170-10	TOKA-170-40
TOKA-022-40	0.8453445554971067	0.7996870109546166	0.832415059687787	0.803921568627451	0.7906026557711952	0.7612375948628137	0.7875243664717348	0.7686832740213523	0.7611853573503777	0.7103487064116986	0.75	0.0	0.7258509659613616	0.6944444444444444	0.7782479898434194	0.7282948157401624	0.8840182648401826	0.8162344983089064	0.7785304846274101	0.7997601918465228	0.8146853146853147	0.6906135291033036	0.7793040293040293	0.7213740458015268	0.8038971807628524	0.7661764705882353	0.7855731225296443	0.7521978021978022	0.8561917443408789	0.8289269051321928	0.8475355054302423	0.8227513227513228	0.7994454713493531	0.6831425598335068	0.7875178656503097	0.6931216931216931	0.8724727838258165	0.8999064546304958	0.998289136013687	0.6868406440866185	0.8215211754537597	0.7429362880886426	0.8026628625772706	0.7018140589569161	0.7894298793175197	0.7246581801037246	0.7637872132747682	0.6949852507374631	0.841596130592503	0.7772727272727272	0.8389402859545837	0.7717133364973896	0.7889022919179735	0.7684260580123633	0.7857789855072463	0.7778987479586282	0.7490215264187867	0.7163671685284119	0.7747329307942405	0.6664619164619164
TOKA-029-10	0.8510917030567685	0.8422165820642978	0.8103035143769968	0.8521587440034889	0.730072463768116	0.793965110796794	0.7152899824253075	0.7477567298105683	0.7179231153270095	0.7295158286778398	0.744322960470984	0.7258509659613616	0.0	0.7532999544833865	0.643673469387755	0.7864506627393225	0.8544152744630071	0.8472727272727273	0.7544802867383512	0.842355175688509	0.7369604316546763	0.7545647558386412	0.7026348808030113	0.7920987654320988	0.7649683897359614	0.8121480289621883	0.7222958057395144	0.7695454545454545	0.8010346199761241	0.8628691983122363	0.8266617701065002	0.8450520833333334	0.7621379028967769	0.7486292703500632	0.7255237280889268	0.7506448839208942	0.8282402528977871	0.8870259481037924	0.9993773349937733	0.7365809652683807	0.7773482798608427	0.8125548726953468	0.7624633431085044	0.7737291947818263	0.6667995217218016	0.7036731324803962	0.6780943900267141	0.7151868025230471	0.77994839660892	0.7995798319327732	0.7684899845916795	0.7766990291262136	0.6954218690881574	0.8039525691699605	0.7225409836065574	0.804192685102587	0.7137945853029652	0.7554567502021019	0.6669557675628794	0.7496402877697842
TOKA-029-40	0.8610526315789474	0.7970323264440912	0.8618033529678296	0.8208061002178649	0.8436417615042059	0.7044609665427509	0.8470201783200375	0.804093567251462	0.779198140615921	0.6373493975903615	0.8744414655942806	0.6944444444444444	0.7532999544833865	0.0	0.8154292824554127	0.6730641958967571	0.9130630630630631	0.8376404494382023	0.7611140867702196	0.7184655396618985	0.8564453125	0.6966173361522199	0.8478355924792305	0.6997371879106439	0.8245469522240527	0.7729516288252715	0.8120411160058737	0.7351778656126482	0.8649130628622381	0.7982740021574973	0.901329037454692	0.8360742705570292	0.8834275772074816	0.7212276214833759	0.855191256830601	0.7453703703703703	0.8944123314065511	0.8931807343824512	0.9991220368744512	0.6953605366126328	0.8517887563884157	0.7525083612040134	0.8383932741709481	0.6735173223722842	0.8352893565358155	0.7254528122020972	0.8248003757632691	0.7033293697978596	0.8942045896538312	0.7983911513323279	0.8586956521739131	0.7163654618473896	0.8240631163708086	0.6923863055697497	0.8148479427549195	0.729776247848537	0.7761627906976745	0.702434177844014	0.8387527839643653	0.6481364497789008
TOKA-030-10	0.8346055979643766	0.8351020408163266	0.7791798107255521	0.857914416285833	0.7414907367514002	0.8364506307090039	0.7026450511945392	0.7789131444496052	0.768348623853211	0.8036990332072299	0.7612774451097805	0.7782479898434194	0.643673469387755	0.8154292824554127	0.0	0.7822201317027281	0.8604562737642586	0.878698224852071	0.7832843343133137	0.8719646799116998	0.7205946655006559	0.7741157556270096	0.7200795228628231	0.8428893905191873	0.7851590106007067	0.8566108007448789	0.7720228384991843	0.8203842940685045	0.7966166858900423	0.8720417168070598	0.841147655703289	0.8838891120932101	0.7705813499804917	0.8074245939675174	0.7261513157894737	0.7912834866053579	0.8358057990559676	0.9008702232311767	0.9988385598141696	0.75776926351639	0.7589860007567159	0.829045643153527	0.7299421009098428	0.796868387642827	0.696045197740113	0.7526799387442573	0.7109440267335004	0.7650736936132202	0.7950070323488045	0.848625629113434	0.7643549589858315	0.8097764304660856	0.7322190611664295	0.8432094221567906	0.7561538461538462	0.8499794492396219	0.7138130686517783	0.7597982149786574	0.6868312757201646	0.8021108179419525
TOKA-030-40	0.8361963190184049	0.7741738066095472	0.8463514902363823	0.801010739102969	0.8416340235030778	0.7523939808481532	0.8473684210526315	0.7863481228668942	0.7981651376146789	0.7095730918499353	0.8807157057654076	0.7282948157401624	0.7864506627393225	0.6730641958967571	0.7822201317027281	0.0	0.927536231884058	0.8558730158730159	0.7711711711711712	0.7359050445103857	0.850415512465374	0.6895113230035756	0.8648130393096836	0.7318518518518519	0.8476614699331848	0.8271670190274841	0.822246455834242	0.7676452217364147	0.8605	0.7728410513141427	0.9125055236411843	0.8730994152046784	0.8974113135186961	0.796875	0.8634294385432474	0.7763380281690141	0.9053428691628103	0.8974771873322598	0.9988532110091743	0.7209158415841584	0.8471760797342193	0.768125	0.8134687332977018	0.675531914893617	0.8426418439716312	0.7592783505154639	0.8401660612350804	0.7449180327868853	0.9107822410147992	0.8270718232044199	0.8717361429225836	0.7574606619641888	0.8436301661695782	0.755700325732899	0.83642578125	0.783125	0.7775974025974026	0.7262357414448669	0.8512518409425626	0.7073844030365769
TOKA-034-10	0.9249067164179104	0.9331858407079646	0.8973399833748961	0.9348729792147806	0.7799113737075333	0.8928571428571429	0.8453333333333334	0.8697001034126164	0.8607723577235772	0.893646408839779	0.829225352112676	0.8840182648401826	0.8544152744630071	0.9130630630630631	0.8604562737642586	0.927536231884058	0.0	0.799565453557849	0.8213256484149856	0.9213483146067416	0.8734119782214156	0.9164588528678305	0.8257191201353637	0.9298334174659263	0.8005606728073689	0.8840271877655055	0.8348457350272233	0.8863423760523854	0.8194200351493849	0.9098021168890934	0.8256242325010233	0.8912630579297246	0.8195292066259808	0.8856540084388186	0.8811630847029077	0.9049235993208828	0.7803889789303079	0.8123492522913651	0.9984362783424551	0.8871402877697842	0.8129707112970711	0.9072117593017914	0.8376824413976117	0.903107861060329	0.8581694402420574	0.8930397168698387	0.8315649867374005	0.8695228821811101	0.7775501843506759	0.8761101243339254	0.7357992073976222	0.8370689655172414	0.78046875	0.8875154511742892	0.7677704194260485	0.8688760806916427	0.8822296730930428	0.9005591054313099	0.798951048951049	0.8937924345295829
TOKA-034-40	0.9207484865162355	0.8970117395944504	0.908274231678487	0.9063545150501672	0.828116419549698	0.7724317295188556	0.8874629812438302	0.8551895587321318	0.8218497827436375	0.8187033849684452	0.8408408408408409	0.8162344983089064	0.8472727272727273	0.8376404494382023	0.878698224852071	0.8558730158730159	0.799565453557849	0.0	0.8004548038658329	0.8353096179183136	0.8911353032659409	0.8628140703517588	0.8630201028517999	0.8414872798434442	0.7971869328493648	0.7386740331491712	0.8170212765957446	0.7975206611570248	0.8692084942084942	0.8661814109742442	0.8272178355782629	0.7540675844806007	0.876959619952494	0.7986401673640168	0.8884078884078884	0.8444444444444444	0.841876629018245	0.8167597765363128	0.9989316239316239	0.8021360314783587	0.8678474114441417	0.8424345847554039	0.8754308222550468	0.843644544431946	0.8684433164128595	0.8464052287581699	0.8510744627686156	0.8141486810551559	0.8551604509973981	0.7218001168907072	0.8497951752389622	0.7897172236503857	0.840567612687813	0.7843137254901961	0.8161586840832123	0.7737804878048781	0.8651685393258427	0.8588346755092373	0.8392081120231772	0.7968944099378882
TOKA-041-10	0.8755736868944416	0.8576371725160653	0.8577181208053691	0.8836032388663968	0.6941241076331686	0.6904176904176904	0.8047846889952153	0.7729411764705882	0.7049576783555018	0.7332233223322332	0.8081936685288641	0.7785304846274101	0.7544802867383512	0.7611140867702196	0.7832843343133137	0.7711711711711712	0.8213256484149856	0.8004548038658329	0.0	0.7151979565772669	0.8161947342275211	0.7841901066925315	0.7945945945945946	0.7990487514863258	0.7274725274725274	0.7679180887372014	0.7271789582258896	0.7397790055248619	0.7837329572167372	0.8200728029121165	0.8370432591348173	0.8298429319371727	0.8204432383536862	0.7847919655667145	0.8386363636363636	0.808837656099904	0.7880049979175343	0.8254599701640974	0.998303647158609	0.732657417289221	0.799034664326459	0.8191709844559586	0.7857829010566763	0.7594390507011867	0.7842565597667639	0.7675896504766228	0.7732754462132175	0.7579653437674678	0.8175481754817548	0.7672413793103449	0.7312271062271062	0.6724578436382218	0.7281144781144782	0.7261146496815286	0.6750369276218612	0.71875	0.7880075542965062	0.7648975791433892	0.7462121212121212	0.7260514018691588
TOKA-041-40	0.9079718640093787	0.8478642480983031	0.912444663059518	0.8750754375377188	0.8431818181818181	0.6818851251840943	0.9016811003565971	0.8563934426229508	0.8204456094364351	0.7315653298835705	0.8937655860349127	0.7997601918465228	0.842355175688509	0.7184655396618985	0.8719646799116998	0.7359050445103857	0.9213483146067416	0.8353096179183136	0.7151979565772669	0.0	0.909139497594869	0.780281690140845	0.8875119161105816	0.7875722543352601	0.8202402957486137	0.7881308929561841	0.8395196506550219	0.7514488087572441	0.8707243460764588	0.8008711885500933	0.9097035040431267	0.8561933534743202	0.9147509578544061	0.810064935064935	0.9071604938271605	0.8265642151481888	0.8820200261210275	0.8689809630459127	0.9988066825775657	0.7588522588522588	0.8792700046794572	0.8196221815965874	0.8841245533435427	0.7677784770295784	0.8692408951294427	0.8057372924006039	0.8804679552390641	0.7956438180653427	0.9159914712153518	0.8191068400226117	0.8686539357242664	0.6944444444444444	0.869198312236287	0.6947976878612717	0.835399107585523	0.7152451309603761	0.848343685300207	0.7849631966351209	0.8784046692607004	0.7429938482570062
TOKA-055-10	0.835245046923879	0.8596491228070176	0.7837965143664626	0.8802605210420842	0.7910597689603215	0.8744791666666667	0.7067553735926305	0.7653239929947461	0.7978959025470653	0.8374875373878365	0.7862165963431786	0.8146853146853147	0.7369604316546763	0.8564453125	0.7205946655006559	0.850415512465374	0.8734119782214156	0.8911353032659409	0.8161947342275211	0.909139497594869	0.0	0.7671366067087992	0.7246581801037246	0.864190687361419	0.8359872611464968	0.8853030963802878	0.8171482709616296	0.8586956521739131	0.8290062667860341	0.9036259541984732	0.8754019292604501	0.904162633107454	0.7808599167822469	0.8173032673722964	0.6883248730964467	0.7966426858513189	0.8730828220858896	0.9171195652173914	0.9983443708609272	0.7919597989949749	0.7873739587900044	0.8534525583705912	0.7428711897738446	0.8412935323383085	0.7476635514018691	0.7869142351900973	0.7055863110216407	0.7806067172264355	0.822554567502021	0.8679245283018868	0.7889273356401384	0.8447669305189094	0.7781337605126152	0.884125636672326	0.8012340237990304	0.8659384309831182	0.6980942828485457	0.7542963307013469	0.7228053435114504	0.8257173219978746
TOKA-055-40	0.8126888217522659	0.7580645161290323	0.8058252427184466	0.7921146953405018	0.8411172161172161	0.7819829424307037	0.8004524886877828	0.8007498660953402	0.8090295796574987	0.7234927234927235	0.8460229689493832	0.6906135291033036	0.7545647558386412	0.6966173361522199	0.7741157556270096	0.6895113230035756	0.9164588528678305	0.8628140703517588	0.7841901066925315	0.780281690140845	0.7671366067087992	0.0	0.7956577266922095	0.7232667450058754	0.8353076041268628	0.8125830748781568	0.8407784166298098	0.7768844221105528	0.8602329450915142	0.800990099009901	0.9023290758827949	0.8725212464589235	0.860973597359736	0.7298444130127298	0.7785295444294091	0.7010360138135175	0.9056806002143623	0.9150129421915444	0.9984984984984985	0.6833333333333333	0.8242473555736372	0.7372793354101765	0.7934293429342935	0.6875334403424291	0.7881656804733728	0.6969559291231259	0.7784322609877662	0.7043098745226405	0.8895795246800732	0.8270540172492056	0.8492719401810311	0.7591339648173207	0.8197026022304833	0.7576714801444043	0.8233347124534547	0.8067393458870169	0.7133396404919584	0.6251837334639883	0.8171452702702703	0.6953605366126328
TOKA-057-10	0.8476972184222527	0.8660637381567614	0.7843551797040169	0.8799291094373062	0.7329892069450962	0.8580735225686366	0.6840877274848344	0.7813765182186235	0.793930494371023	0.8260286225402504	0.739833843463052	0.7793040293040293	0.7026348808030113	0.8478355924792305	0.7200795228628231	0.8648130393096836	0.8257191201353637	0.8630201028517999	0.7945945945945946	0.8875119161105816	0.7246581801037246	0.7956577266922095	0.0	0.8313373253493014	0.7924174174174174	0.8521353746978243	0.7953367875647669	0.8436250555308752	0.8279613215149073	0.9049027895181742	0.8375329071079353	0.8838934962898297	0.7018165706690297	0.7595320623916811	0.6922727272727273	0.7927617406290393	0.8485928037050231	0.905829596412556	0.9986675549633578	0.7922077922077922	0.7544788273615635	0.8398751115075825	0.7662337662337663	0.8393094289508632	0.7209944751381215	0.7866560127846585	0.6517647058823529	0.7511045655375552	0.7353057199211045	0.8388865457612822	0.7349693251533742	0.8206785137318255	0.7246376811594203	0.8536681051392703	0.7651639344262295	0.8577127659574468	0.7637997432605905	0.8057005218787635	0.6351102941176471	0.8097955301949595
TOKA-057-40	0.8633049817739976	0.814748201438849	0.875886524822695	0.8270676691729323	0.8549019607843137	0.7875927174645988	0.8562367864693446	0.8241610738255034	0.8010610079575596	0.7071569271175312	0.8665987780040734	0.7213740458015268	0.7920987654320988	0.6997371879106439	0.8428893905191873	0.7318518518518519	0.9298334174659263	0.8414872798434442	0.7990487514863258	0.7875722543352601	0.864190687361419	0.7232667450058754	0.8313373253493014	0.0	0.8495058400718778	0.8029475982532751	0.833879781420765	0.7614503816793893	0.8988269794721407	0.8392321535692862	0.9119749776586238	0.8575721153846154	0.8764822134387352	0.7063305978898007	0.8563336766220392	0.7494172494172494	0.9239766081871345	0.9184	0.9976331360946745	0.738566131025958	0.8739456419868791	0.7603569152326323	0.859074362974519	0.7429667519181585	0.8602292768959435	0.785823559408465	0.8262486716259299	0.7015130674002751	0.9022815325010762	0.7948275862068965	0.8790248390064398	0.7880085653104925	0.8403796376186368	0.7678085916258837	0.8337456704601682	0.8046048537647791	0.8141263940520446	0.7491909385113269	0.8447329006490265	0.686344238975818
